replica,variable,p_valor_ajustado_BH
12,pct_obstetrica_ingreso,7.906702055684882e-05
12,pct_alta_domicilio,0.02668353965850952
12,pct_alta_fallecido,2.3044719041063844e-05
12,pct_alta_traslado,0.11158018895172743
12,pct_origen_emergencia,0.16610716919727678
12,pct_origen_referencia,0.058758317838744835
12,pct_uso_pabellon,0.011706257332029192
12,pabellones_promedio,0.42087587593419595
12,tasa_partos,0.0002139310617843916
12,tasa_prematurez,0.1147799914789791
12,cv_estancia,0.025655467905974196
12,pct_estancia_larga,0.003506212830059465
13,egresos_por_anio,0.02374244036342021
13,estancia_media,0.0001550772793141269
13,estancia_mediana,5.169567902468565e-05
13,peso_medio_grd,0.0001682898857524914
13,severidad_media,0.004659708896136964
13,mortalidad_media,0.0017085396781152166
13,entropia_grd,0.0040442548834331675
13,comorbilidades_promedio,0.0015096229458418367
13,tasa_cma,0.003380192998267919
13,peso_medio_cma,0.0007633940489899262
13,pct_pediatrico,8.02486855315428e-08
13,pct_geriatrico,5.8958860600417856e-08
13,pct_femenino_fertil,0.00020462853447066466
13,edad_mediana,5.8958860600417856e-08
13,pct_urgencia,0.015353412018182465
13,pct_programada,0.005654406287507435
13,pct_obstetrica_ingreso,0.002482515812686958
13,pct_alta_domicilio,5.169567902468565e-05
13,pct_alta_fallecido,9.760282081927695e-05
13,pct_alta_traslado,0.0008421690557387489
13,pct_origen_emergencia,0.26754911579721496
13,pct_origen_referencia,0.0015316877072814768
13,pct_uso_pabellon,9.760282081927695e-05
13,pabellones_promedio,0.0006847774966518489
13,tasa_partos,0.0011491047950580556
13,tasa_prematurez,0.12003812605420257
13,cv_estancia,0.0001550772793141269
13,pct_estancia_larga,0.0004242807740643038
14,egresos_por_anio,0.004483299138468744
14,estancia_media,7.970519951226163e-05
14,estancia_mediana,3.5508092709168745e-05
14,peso_medio_grd,1.985817934489238e-07
14,severidad_media,0.00040725629278683963
14,mortalidad_media,0.0009299476797841882
14,entropia_grd,0.04533826601531769
14,comorbilidades_promedio,0.004483299138468744
14,tasa_cma,0.2218623770072804
14,peso_medio_cma,0.004867795666043259
14,pct_pediatrico,7.231869684484789e-08
14,pct_geriatrico,2.904611102940853e-07
14,pct_femenino_fertil,5.026887411133521e-06
14,edad_mediana,4.868287886799521e-07
14,pct_urgencia,2.7815689625934e-05
14,pct_programada,7.231869684484789e-08
14,pct_obstetrica_ingreso,4.492347094879636e-06
14,pct_alta_domicilio,4.144842765471311e-05
14,pct_alta_fallecido,4.492347094879636e-06
14,pct_alta_traslado,0.1961574371210005
14,pct_origen_emergencia,4.492347094879636e-06
14,pct_origen_referencia,0.001256849210821233
14,pct_uso_pabellon,0.0004333097923949793
14,pabellones_promedio,0.0010483501390707818
14,tasa_partos,4.144842765471311e-05
14,tasa_prematurez,0.08158560450416923
14,cv_estancia,0.03281200517533988
14,pct_estancia_larga,0.00010268277718489236
15,egresos_por_anio,0.6282130724603009
15,estancia_media,0.009747802798586176
15,estancia_mediana,0.0016771729872915961
15,peso_medio_grd,0.023546174803769627
15,severidad_media,0.002999869533740993
15,mortalidad_media,0.002250390840854734
15,entropia_grd,0.10961092671496171
15,comorbilidades_promedio,0.0011463621147346757
15,tasa_cma,0.8677754596036855
15,peso_medio_cma,0.00013534658704757456
15,pct_pediatrico,4.747347385575746e-09
15,pct_geriatrico,6.242781849210361e-09
15,pct_femenino_fertil,0.0006604784627170258
15,edad_mediana,6.242781849210361e-09
15,pct_urgencia,0.13156363621109562
15,pct_programada,0.04846736883196841
15,pct_obstetrica_ingreso,0.00357095569190559
15,pct_alta_domicilio,0.0014529363279212554
15,pct_alta_fallecido,0.0008281459329253323
15,pct_alta_traslado,0.15045228350489637
