K_sub,replica,n_sub,silhouette,ari_vs_referencia,nmi_vs_referencia
3,47,43,0.19499609992843883,0.4504214476556607,0.5493932456269891
3,48,43,0.19908255338408057,0.5565473611231476,0.6717893940839754
3,49,43,0.10887375072356051,0.23734495474354678,0.44539422343521995
3,50,43,0.2051834824427277,0.4984246366500661,0.6509483743128625
3,51,43,0.14518198707921165,0.3066247316659178,0.37642861076311374
3,52,43,0.11666570659157811,0.7810806372146494,0.816050944933075
3,53,43,0.1940247547502771,0.5548251045551365,0.697167108146952
3,54,43,0.12357665875074661,0.49417249417249415,0.5056594580219532
3,55,43,0.12683270618259596,0.28581914800130265,0.39481369235121827
3,56,43,0.1256910179138774,0.6714993419715175,0.6303054392403349
3,57,43,0.13314000514549704,0.2814184985483202,0.3640749572104023
3,58,43,0.17994999537404294,0.3330618892508143,0.380048964625115
3,59,43,0.16722433599254294,0.5082734935997503,0.6119456276581947
3,60,43,0.19047222150121104,0.44673144233455325,0.6344927424529667
3,61,43,0.16944567582189485,0.7018818091779465,0.6639853678515644
3,62,43,0.1260386020390013,0.32370068027210885,0.4148041455631334
3,63,43,0.19816480783545978,0.4892739410605132,0.5944106287606487
3,64,43,0.20742935743380767,0.4945097532618525,0.6535381863967347
3,65,43,0.21562846037356065,0.32605326644405747,0.40679968332111177
3,66,43,0.10690869022437713,0.43854719025161076,0.5072693429059725
3,67,43,0.17491405775334856,0.3526129163517991,0.45839927976428224
3,68,43,0.13265467384882673,0.8532914749337006,0.7863096546242813
3,69,43,0.15133715194849517,0.5504344939955343,0.5244973397687585
3,70,43,0.255713857990363,0.3476429767887054,0.43494083366611425
3,71,43,0.11970388756213114,0.17423614356129694,0.3710167299967575
3,72,43,0.15480169783704875,0.3318941271265032,0.40173905502440493
3,73,43,0.18216922515610404,0.46494688922610017,0.5820763883299005
3,74,43,0.1270511959036135,0.11369827807761501,0.23612325926904662
3,75,43,0.14507607875146447,0.5317342498068085,0.535529401395961
3,76,43,0.16045280923665955,0.7223309708628642,0.6838076947373946
3,77,43,0.10863995467805497,0.4835261707988981,0.5279209189794083
3,78,43,0.15038660087197112,0.7477717681115259,0.6644046364237193
3,79,43,0.15815572803486722,0.42509990597085096,0.49767005101772344
3,80,43,0.12977195876220698,0.9553641346906813,0.9241403930454144
3,81,43,0.12411271262173255,0.5430367773883047,0.5604728701248276
3,82,43,0.18624307539055857,0.6034010811478114,0.708077027158506
3,83,43,0.1256205737629709,0.644473455178416,0.6081579063871357
3,84,43,0.11497274029987073,0.5214402618657937,0.4918996900835058
3,85,43,0.15057207577645393,0.556344633525392,0.6284601678057928
3,86,43,0.19772242478847016,0.5624307324726169,0.6278998443147935
3,87,43,0.14114548894079879,0.23743449332384978,0.32860560567988595
3,88,43,0.10979235505852061,0.444278954309208,0.451836231723553
3,89,43,0.22167190845878462,0.47898507886211544,0.5482471243155211
3,90,43,0.10832063312076122,0.08075557435256858,0.2237976202931844
3,91,43,0.2095825344936756,0.5257682761597583,0.663254743373733
3,92,43,0.13655468618490949,0.8145657514826279,0.7324301369759832
3,93,43,0.125938318368873,0.18826596350343092,0.3168473266230277
3,94,43,0.10598965373750416,0.5912432685553735,0.6508063226674238
3,95,43,0.11411532896202056,0.12237065246496683,0.27178556592272624
3,96,43,0.10789555276485822,0.25121943288241416,0.4034012425628925
3,97,43,0.13442019355610665,0.6372288875773101,0.7291065642049822
3,98,43,0.12213816713326758,0.2682734038269377,0.4131989961139863
3,99,43,0.12627765432210455,0.6486651137788927,0.6879422787413051
3,100,43,0.09549899883494431,0.1328108672936259,0.28214901846879037
